flight_id,date,origin,destination,airline,dep_time,arr_time,duration_hrs,price_usd,flight_code,day_of_week,month,date_dt
28,2025-05-01,JFK,ORD,LATAM,08:30,10:30,2.4,127,LA756,Thursday,5,2025-05-01
500,2025-05-02,JFK,ORD,Delta,17:45,19:45,2.3,122,DE799,Friday,5,2025-05-02
962,2025-05-03,JFK,ORD,Japan Airlines,19:45,21:45,2.4,159,JA941,Saturday,5,2025-05-03
1433,2025-05-04,JFK,ORD,Singapore Airlines,19:15,22:15,3.3,163,SI141,Sunday,5,2025-05-04
1909,2025-05-05,JFK,ORD,Korean Air,10:30,12:30,2.1,152,KO351,Monday,5,2025-05-05
2386,2025-05-06,JFK,ORD,Lufthansa,12:30,14:30,2.8,125,LU648,Tuesday,5,2025-05-06
2860,2025-05-07,JFK,ORD,ANA,13:30,15:30,2.0,148,AN805,Wednesday,5,2025-05-07
3330,2025-05-08,JFK,ORD,Air France,05:30,08:30,3.5,122,AI309,Thursday,5,2025-05-08
3816,2025-05-09,JFK,ORD,Qantas,19:00,20:00,1.4,154,QA804,Friday,5,2025-05-09
4290,2025-05-10,JFK,ORD,American,12:45,15:45,3.4,156,AM633,Saturday,5,2025-05-10
4774,2025-05-11,JFK,ORD,LATAM,06:45,08:45,2.4,153,LA744,Sunday,5,2025-05-11
5248,2025-05-12,JFK,ORD,Lufthansa,08:30,11:30,3.1,140,LU837,Monday,5,2025-05-12
5717,2025-05-13,JFK,ORD,Qantas,07:30,10:30,3.4,154,QA856,Tuesday,5,2025-05-13
6188,2025-05-14,JFK,ORD,Air Canada,14:00,15:00,1.9,133,AI928,Wednesday,5,2025-05-14
6651,2025-05-15,JFK,ORD,Delta,12:30,13:30,1.5,139,DE454,Thursday,5,2025-05-15
7136,2025-05-16,JFK,ORD,KLM,11:45,14:45,3.1,130,KL167,Friday,5,2025-05-16
7608,2025-05-17,JFK,ORD,Air France,06:15,07:15,1.0,137,AI441,Saturday,5,2025-05-17
8080,2025-05-18,JFK,ORD,American,08:30,10:30,2.5,152,AM151,Sunday,5,2025-05-18
8563,2025-05-19,JFK,ORD,LATAM,20:45,23:45,3.1,142,LA934,Monday,5,2025-05-19
9037,2025-05-20,JFK,ORD,American,14:00,17:00,3.2,163,AM752,Tuesday,5,2025-05-20
9503,2025-05-21,JFK,ORD,Delta,09:15,11:15,2.2,150,DE876,Wednesday,5,2025-05-21
9980,2025-05-22,JFK,ORD,Air Canada,14:15,17:15,3.3,142,AI469,Thursday,5,2025-05-22
10451,2025-05-23,JFK,ORD,LATAM,17:30,18:30,1.5,130,LA395,Friday,5,2025-05-23
10923,2025-05-24,JFK,ORD,KLM,21:00,23:00,2.3,124,KL836,Saturday,5,2025-05-24
11396,2025-05-25,JFK,ORD,Korean Air,22:00,01:00,3.5,133,KO829,Sunday,5,2025-05-25
11885,2025-05-26,JFK,ORD,Korean Air,15:45,17:45,2.9,137,KO567,Monday,5,2025-05-26
12365,2025-05-27,JFK,ORD,American,20:45,21:45,1.8,118,AM965,Tuesday,5,2025-05-27
12851,2025-05-28,JFK,ORD,United,07:45,08:45,1.3,132,UN776,Wednesday,5,2025-05-28
13334,2025-05-29,JFK,ORD,LATAM,08:00,10:00,2.0,146,LA923,Thursday,5,2025-05-29
13815,2025-05-30,JFK,ORD,United,12:45,13:45,1.4,135,UN968,Friday,5,2025-05-30
14281,2025-05-31,JFK,ORD,ANA,22:30,23:30,1.7,160,AN555,Saturday,5,2025-05-31
